LECROYWS44MXs-B	57124	Waveform
Segments	1	SegmentSize	10001
Segment	TrigTime	TimeSinceSegment1
#1	25-Nov-2021 15:17:45	0                 
Time	Ampl
-5.96e-005	-16.0831
-5.958e-005	-14.5928
-5.956e-005	-18.3186
-5.954e-005	-18.9396
-5.952e-005	-19.4363
-5.95e-005	-14.5928
-5.948e-005	-15.8968
-5.946e-005	-17.2629
-5.944e-005	-18.3186
-5.942e-005	-15.7105
-5.94e-005	-19.5605
-5.938e-005	-11.2395
-5.936e-005	-16.7662
-5.934e-005	-18.3807
-5.932e-005	-17.0146
-5.93e-005	-16.2694
-5.928e-005	-16.642
-5.926e-005	-14.717
-5.924e-005	-17.2629
-5.922e-005	-16.8283
-5.92e-005	-15.7105
-5.918e-005	-19.3742
-5.916e-005	-14.9033
-5.914e-005	-15.7726
-5.912e-005	-11.6121
-5.91e-005	-16.5178
-5.908e-005	-14.5928
-5.906e-005	-16.9525
-5.904e-005	-15.8968
-5.902e-005	-14.8412
-5.9e-005	-17.0146
-5.898e-005	-13.8476
-5.896e-005	-15.1516
-5.894e-005	-12.6678
-5.892e-005	-16.021
-5.89e-005	-13.5992
-5.888e-005	-17.7597
-5.886e-005	-14.2202
-5.884e-005	-16.5799
-5.882e-005	-16.1452
-5.88e-005	-15.5863
-5.878e-005	-15.0896
-5.876e-005	-18.1323
-5.874e-005	-17.5113
-5.872e-005	-14.7791
-5.87e-005	-18.8154
-5.868e-005	-13.6613
-5.866e-005	-16.2694
-5.864e-005	-13.0404
-5.862e-005	-17.8839
-5.86e-005	-12.8541
-5.858e-005	-17.8839
-5.856e-005	-18.4428
-5.854e-005	-13.8476
-5.852e-005	-16.7041
-5.85e-005	-11.4879
-5.848e-005	-15.5242
-5.846e-005	-16.2073
-5.844e-005	-16.3315
-5.842e-005	-13.0404
-5.84e-005	-15.6484
-5.838e-005	-15.1516
-5.836e-005	-14.1581
-5.834e-005	-13.5992
-5.832e-005	-17.6355
-5.83e-005	-18.567
-5.828e-005	-15.7726
-5.826e-005	-14.717
-5.824e-005	-13.8476
-5.822e-005	-18.6291
-5.82e-005	-14.0339
-5.818e-005	-16.7041
-5.816e-005	-14.8412
-5.814e-005	-18.6291
-5.812e-005	-12.792
-5.81e-005	-15.2137
-5.808e-005	-13.7855
-5.806e-005	-15.8347
-5.804e-005	-17.4492
-5.802e-005	-14.9654
-5.8e-005	-14.6549
-5.798e-005	-17.0767
-5.796e-005	-15.3379
-5.794e-005	-15.7105
-5.792e-005	-18.0702
-5.79e-005	-13.5992
-5.788e-005	-18.2565
-5.786e-005	-13.5371
-5.784e-005	-14.7791
-5.782e-005	-14.096
-5.78e-005	-14.3444
-5.778e-005	-12.6678
-5.776e-005	-14.6549
-5.774e-005	-19.0638
-5.772e-005	-16.0831
-5.77e-005	-17.3871
-5.768e-005	-11.7984
-5.766e-005	-16.7041
-5.764e-005	-15.0896
-5.762e-005	-17.3871
-5.76e-005	-15.8968
-5.758e-005	-15.7105
-5.756e-005	-16.3936
-5.754e-005	-14.0339
-5.752e-005	-15.6484
-5.75e-005	-17.7597
-5.748e-005	-18.1323
-5.746e-005	-16.8283
-5.744e-005	-16.8283
-5.742e-005	-11.3637
-5.74e-005	-16.3315
-5.738e-005	-14.2202
-5.736e-005	-15.8968
-5.734e-005	-16.1452
-5.732e-005	-15.0896
-5.73e-005	-13.5992
-5.728e-005	-15.2137
-5.726e-005	-16.8283
-5.724e-005	-13.3508
-5.722e-005	-12.2952
-5.72e-005	-11.7363
-5.718e-005	-15.7726
-5.716e-005	-12.2952
-5.714e-005	-18.0081
-5.712e-005	-15.7726
-5.71e-005	-17.6355
-5.708e-005	-17.5113
-5.706e-005	-16.8283
-5.704e-005	-13.1645
-5.702e-005	-16.3315
-5.7e-005	-17.5113
-5.698e-005	-12.171
-5.696e-005	-16.9525
-5.694e-005	-12.7299
-5.692e-005	-14.9033
-5.69e-005	-16.3936
-5.688e-005	-15.1516
-5.686e-005	-15.0896
-5.684e-005	-15.0275
-5.682e-005	-12.6057
-5.68e-005	-16.0831
-5.678e-005	-11.9847
-5.676e-005	-16.7662
-5.674e-005	-18.0702
-5.672e-005	-15.6484
-5.67e-005	-15.9589
-5.668e-005	-16.4557
-5.666e-005	-16.4557
-5.664e-005	-12.0468
-5.662e-005	-15.2758
-5.66e-005	-12.0468
-5.658e-005	-16.8904
-5.656e-005	-12.5436
-5.654e-005	-19.5605
-5.652e-005	-12.4194
-5.65e-005	-12.2952
-5.648e-005	-15.2758
-5.646e-005	-14.7791
-5.644e-005	-15.8968
-5.642e-005	-14.6549
-5.64e-005	-13.2266
-5.638e-005	-15.1516
-5.636e-005	-16.2694
-5.634e-005	-16.3936
-5.632e-005	-15.7105
-5.63e-005	-14.2202
-5.628e-005	-18.3186
-5.626e-005	-14.6549
-5.624e-005	-14.096
-5.622e-005	-17.5113
-5.62e-005	-16.2073
-5.618e-005	-15.5242
-5.616e-005	-13.0404
-5.614e-005	-14.9654
-5.612e-005	-16.5178
-5.61e-005	-13.0404
-5.608e-005	-13.8476
-5.606e-005	-17.5113
-5.604e-005	-11.8605
-5.602e-005	-16.3936
-5.6e-005	-15.8968
-5.598e-005	-13.6613
-5.596e-005	-12.3573
-5.594e-005	-14.0339
-5.592e-005	-15.9589
-5.59e-005	-13.5992
-5.588e-005	-15.2137
-5.586e-005	-11.1153
-5.584e-005	-13.9097
-5.582e-005	-14.1581
-5.58e-005	-13.2266
-5.578e-005	-10.8049
-5.576e-005	-18.0702
-5.574e-005	-15.9589
-5.572e-005	-14.6549
-5.57e-005	-18.0081
-5.568e-005	-13.9097
-5.566e-005	-14.5928
-5.564e-005	-16.1452
-5.562e-005	-13.9097
-5.56e-005	-12.4194
-5.558e-005	-17.8839
-5.556e-005	-12.6678
-5.554e-005	-17.2629
-5.552e-005	-12.6057
-5.55e-005	-17.5113
-5.548e-005	-14.2823
-5.546e-005	-12.3573
-5.544e-005	-14.717
-5.542e-005	-14.7791
-5.54e-005	-16.3936
-5.538e-005	-14.3444
-5.536e-005	-14.2202
-5.534e-005	-13.1645
-5.532e-005	-19.0017
-5.53e-005	-15.8347
-5.528e-005	-18.0702
-5.526e-005	-15.5242
-5.524e-005	-18.0702
-5.522e-005	-14.2823
-5.52e-005	-15.2137
-5.518e-005	-17.6976
-5.516e-005	-13.8476
-5.514e-005	-13.0404
-5.512e-005	-15.2758
-5.51e-005	-18.1944
-5.508e-005	-14.1581
-5.506e-005	-16.1452
-5.504e-005	-15.4621
-5.502e-005	-16.3315
-5.5e-005	-12.8541
