LECROYWS44MXs-B,57124,Waveform
Segments,1,SegmentSize,10001
Segment,TrigTime,TimeSinceSegment1
#1,14-Dec-2021 16:17:22,0                 
Time,Ampl
-2e-005,-0.0849554
-1.998e-005,-0.0948772
-1.996e-005,-0.0731733
-1.994e-005,-0.0843353
-1.992e-005,-0.0744135
-1.99e-005,-0.0799945
-1.988e-005,-0.0843353
-1.986e-005,-0.082475
-1.984e-005,-0.066352
-1.982e-005,-0.0725532
-1.98e-005,-0.0899163
-1.978e-005,-0.0750336
-1.976e-005,-0.0719331
-1.974e-005,-0.0843353
-1.972e-005,-0.0868158
-1.97e-005,-0.0868158
-1.968e-005,-0.0806146
-1.966e-005,-0.0725532
-1.964e-005,-0.0806146
-1.962e-005,-0.0868158
-1.96e-005,-0.0892962
-1.958e-005,-0.0694526
-1.956e-005,-0.0855755
-1.954e-005,-0.0812347
-1.952e-005,-0.0781342
-1.95e-005,-0.0843353
-1.948e-005,-0.082475
-1.946e-005,-0.0911565
-1.944e-005,-0.0868158
-1.942e-005,-0.0731733
-1.94e-005,-0.0750336
-1.938e-005,-0.076894
-1.936e-005,-0.0799945
-1.934e-005,-0.0843353
-1.932e-005,-0.0892962
-1.93e-005,-0.0775141
-1.928e-005,-0.0744135
-1.926e-005,-0.0849554
-1.924e-005,-0.0731733
-1.922e-005,-0.0855755
-1.92e-005,-0.0985979
-1.918e-005,-0.0806146
-1.916e-005,-0.0706928
-1.914e-005,-0.0775141
-1.912e-005,-0.0737934
-1.91e-005,-0.0892962
-1.908e-005,-0.0830951
-1.906e-005,-0.0737934
-1.904e-005,-0.0737934
-1.902e-005,-0.0843353
-1.9e-005,-0.0830951
-1.898e-005,-0.0750336
-1.896e-005,-0.0793744
-1.894e-005,-0.0830951
-1.892e-005,-0.0886761
-1.89e-005,-0.0775141
-1.888e-005,-0.0744135
-1.886e-005,-0.0855755
-1.884e-005,-0.0700727
-1.882e-005,-0.0843353
-1.88e-005,-0.0781342
-1.878e-005,-0.0744135
-1.876e-005,-0.082475
-1.874e-005,-0.0806146
-1.872e-005,-0.0861956
-1.87e-005,-0.0775141
-1.868e-005,-0.0861956
-1.866e-005,-0.0830951
-1.864e-005,-0.0644917
-1.862e-005,-0.0632515
-1.86e-005,-0.0725532
-1.858e-005,-0.0793744
-1.856e-005,-0.082475
-1.854e-005,-0.0713129
-1.852e-005,-0.0694526
-1.85e-005,-0.0930169
-1.848e-005,-0.076894
-1.846e-005,-0.0731733
-1.844e-005,-0.0818549
-1.842e-005,-0.0855755
-1.84e-005,-0.0911565
-1.838e-005,-0.0787543
-1.836e-005,-0.0787543
-1.834e-005,-0.0787543
-1.832e-005,-0.082475
-1.83e-005,-0.0781342
-1.828e-005,-0.0775141
-1.826e-005,-0.0725532
-1.824e-005,-0.0793744
-1.822e-005,-0.0781342
-1.82e-005,-0.0731733
-1.818e-005,-0.0899163
-1.816e-005,-0.0812347
-1.814e-005,-0.0855755
-1.812e-005,-0.0855755
-1.81e-005,-0.0744135
-1.808e-005,-0.0886761
-1.806e-005,-0.0806146
-1.804e-005,-0.076894
-1.802e-005,-0.0905364
-1.8e-005,-0.0775141
-1.798e-005,-0.0744135
-1.796e-005,-0.076894
-1.794e-005,-0.0750336
-1.792e-005,-0.0843353
-1.79e-005,-0.0948772
-1.788e-005,-0.0861956
-1.786e-005,-0.0806146
-1.784e-005,-0.0787543
-1.782e-005,-0.0706928
-1.78e-005,-0.0737934
-1.778e-005,-0.066352
-1.776e-005,-0.0762738
-1.774e-005,-0.0750336
-1.772e-005,-0.0874359
-1.77e-005,-0.0762738
-1.768e-005,-0.0744135
-1.766e-005,-0.093637
-1.764e-005,-0.082475
-1.762e-005,-0.0861956
-1.76e-005,-0.0781342
-1.758e-005,-0.0781342
-1.756e-005,-0.0843353
-1.754e-005,-0.0843353
-1.752e-005,-0.0787543
-1.75e-005,-0.0812347
-1.748e-005,-0.0793744
-1.746e-005,-0.0750336
-1.744e-005,-0.0750336
-1.742e-005,-0.0775141
-1.74e-005,-0.0930169
-1.738e-005,-0.0806146
-1.736e-005,-0.0781342
-1.734e-005,-0.0700727
-1.732e-005,-0.0731733
-1.73e-005,-0.0775141
-1.728e-005,-0.0787543
-1.726e-005,-0.0725532
-1.724e-005,-0.0899163
-1.722e-005,-0.0781342
-1.72e-005,-0.0886761
-1.718e-005,-0.0651118
-1.716e-005,-0.0849554
-1.714e-005,-0.0806146
-1.712e-005,-0.0756537
-1.71e-005,-0.0806146
-1.708e-005,-0.0706928
-1.706e-005,-0.0874359
-1.704e-005,-0.0787543
-1.702e-005,-0.0731733
-1.7e-005,-0.0713129
-1.698e-005,-0.0899163
-1.696e-005,-0.0725532
-1.694e-005,-0.076894
-1.692e-005,-0.0787543
-1.69e-005,-0.0843353
-1.688e-005,-0.0917767
-1.686e-005,-0.0830951
-1.684e-005,-0.0911565
-1.682e-005,-0.0750336
-1.68e-005,-0.0682124
-1.678e-005,-0.0750336
-1.676e-005,-0.082475
-1.674e-005,-0.0744135
-1.672e-005,-0.0781342
-1.67e-005,-0.0719331
-1.668e-005,-0.0830951
-1.666e-005,-0.0756537
-1.664e-005,-0.0750336
-1.662e-005,-0.0849554
-1.66e-005,-0.0812347
-1.658e-005,-0.0874359
-1.656e-005,-0.088056
-1.654e-005,-0.0669722
-1.652e-005,-0.0806146
-1.65e-005,-0.0799945
-1.648e-005,-0.0917767
-1.646e-005,-0.0899163
-1.644e-005,-0.0843353
-1.642e-005,-0.0899163
-1.64e-005,-0.0787543
-1.638e-005,-0.0781342
-1.636e-005,-0.0843353
-1.634e-005,-0.0967376
-1.632e-005,-0.0843353
-1.63e-005,-0.0855755
-1.628e-005,-0.0737934
-1.626e-005,-0.0843353
-1.624e-005,-0.0762738
-1.622e-005,-0.0899163
-1.62e-005,-0.0843353
-1.618e-005,-0.0762738
-1.616e-005,-0.0818549
-1.614e-005,-0.0694526
-1.612e-005,-0.0830951
-1.61e-005,-0.0911565
-1.608e-005,-0.0849554
-1.606e-005,-0.0775141
-1.604e-005,-0.082475
-1.602e-005,-0.076894
-1.6e-005,-0.0700727
-1.598e-005,-0.0874359
-1.596e-005,-0.0899163
-1.594e-005,-0.0799945
-1.592e-005,-0.0688325
-1.59e-005,-0.0762738
-1.588e-005,-0.0793744
-1.586e-005,-0.0837152
-1.584e-005,-0.082475
-1.582e-005,-0.0899163
-1.58e-005,-0.0886761
-1.578e-005,-0.0806146
-1.576e-005,-0.0644917
-1.574e-005,-0.0675923
-1.572e-005,-0.0892962
-1.57e-005,-0.0793744
-1.568e-005,-0.0775141
-1.566e-005,-0.0843353
-1.564e-005,-0.0806146
-1.562e-005,-0.0837152
-1.56e-005,-0.0812347
-1.558e-005,-0.0849554
-1.556e-005,-0.0886761
-1.554e-005,-0.0744135
-1.552e-005,-0.0781342
-1.55e-005,-0.0694526
