LECROYWS44MXs-B,57124,Waveform
Segments,1,SegmentSize,10001
Segment,TrigTime,TimeSinceSegment1
#1,14-Dec-2021 16:17:22,0                 
Time,Ampl
-2e-005,20.0296
-1.998e-005,18.9754
-1.996e-005,19.6576
-1.994e-005,18.6654
-1.992e-005,19.7816
-1.99e-005,19.6576
-1.988e-005,18.9134
-1.986e-005,18.9134
-1.984e-005,18.6654
-1.982e-005,19.2855
-1.98e-005,18.8514
-1.978e-005,18.3553
-1.976e-005,19.1615
-1.974e-005,19.0995
-1.972e-005,19.1615
-1.97e-005,18.7274
-1.968e-005,18.7894
-1.966e-005,20.0296
-1.964e-005,19.0995
-1.962e-005,19.5335
-1.96e-005,17.9213
-1.958e-005,19.5956
-1.956e-005,19.7816
-1.954e-005,19.6576
-1.952e-005,19.1615
-1.95e-005,19.5335
-1.948e-005,20.0296
-1.946e-005,18.7894
-1.944e-005,19.1615
-1.942e-005,18.0453
-1.94e-005,20.4017
-1.938e-005,19.3475
-1.936e-005,20.1537
-1.934e-005,18.1073
-1.932e-005,20.1537
-1.93e-005,18.4794
-1.928e-005,20.2157
-1.926e-005,19.0375
-1.924e-005,18.7274
-1.922e-005,19.0995
-1.92e-005,18.7274
-1.918e-005,19.7196
-1.916e-005,17.5492
-1.914e-005,20.1537
-1.912e-005,18.5414
-1.91e-005,19.5335
-1.908e-005,18.6654
-1.906e-005,19.5335
-1.904e-005,18.9134
-1.902e-005,18.9754
-1.9e-005,19.1615
-1.898e-005,19.0375
-1.896e-005,19.7196
-1.894e-005,18.6034
-1.892e-005,19.2235
-1.89e-005,19.0375
-1.888e-005,19.4095
-1.886e-005,19.5335
-1.884e-005,18.9754
-1.882e-005,19.0995
-1.88e-005,17.7972
-1.878e-005,19.0375
-1.876e-005,18.4794
-1.874e-005,18.8514
-1.872e-005,18.2933
-1.87e-005,19.7816
-1.868e-005,18.1073
-1.866e-005,20.2157
-1.864e-005,18.1693
-1.862e-005,20.0296
-1.86e-005,18.5414
-1.858e-005,19.8436
-1.856e-005,18.4173
-1.854e-005,19.5335
-1.852e-005,19.1615
-1.85e-005,19.4715
-1.848e-005,19.2855
-1.846e-005,18.9134
-1.844e-005,20.2157
-1.842e-005,17.9833
-1.84e-005,19.2855
-1.838e-005,17.4872
-1.836e-005,19.5335
-1.834e-005,18.7894
-1.832e-005,18.7894
-1.83e-005,19.5335
-1.828e-005,18.7274
-1.826e-005,18.9754
-1.824e-005,19.9056
-1.822e-005,18.2933
-1.82e-005,19.2855
-1.818e-005,19.2855
-1.816e-005,18.9134
-1.814e-005,19.0995
-1.812e-005,18.0453
-1.81e-005,19.7196
-1.808e-005,17.9833
-1.806e-005,19.2855
-1.804e-005,17.8592
-1.802e-005,18.9754
-1.8e-005,19.0375
-1.798e-005,18.7274
-1.796e-005,18.6034
-1.794e-005,19.1615
-1.792e-005,19.8436
-1.79e-005,18.9754
-1.788e-005,18.8514
-1.786e-005,18.6654
-1.784e-005,19.4715
-1.782e-005,18.2313
-1.78e-005,19.2235
-1.778e-005,17.5492
-1.776e-005,18.9134
-1.774e-005,19.0995
-1.772e-005,19.1615
-1.77e-005,18.5414
-1.768e-005,18.7894
-1.766e-005,19.2855
-1.764e-005,19.0375
-1.762e-005,19.2235
-1.76e-005,18.2313
-1.758e-005,19.6576
-1.756e-005,18.7894
-1.754e-005,19.1615
-1.752e-005,18.2313
-1.75e-005,18.8514
-1.748e-005,19.4715
-1.746e-005,18.4173
-1.744e-005,18.7894
-1.742e-005,18.6654
-1.74e-005,19.5956
-1.738e-005,18.4173
-1.736e-005,18.9754
-1.734e-005,18.1693
-1.732e-005,19.4095
-1.73e-005,18.4173
-1.728e-005,19.4715
-1.726e-005,18.2313
-1.724e-005,19.5956
-1.722e-005,19.0375
-1.72e-005,19.8436
-1.718e-005,18.0453
-1.716e-005,19.5335
-1.714e-005,19.5956
-1.712e-005,18.6654
-1.71e-005,18.9754
-1.708e-005,18.2933
-1.706e-005,20.0916
-1.704e-005,18.4794
-1.702e-005,19.5335
-1.7e-005,17.4872
-1.698e-005,18.9754
-1.696e-005,18.0453
-1.694e-005,18.7894
-1.692e-005,18.6034
-1.69e-005,18.7274
-1.688e-005,19.7816
-1.686e-005,18.1073
-1.684e-005,19.2855
-1.682e-005,18.0453
-1.68e-005,19.5956
-1.678e-005,19.3475
-1.676e-005,18.7894
-1.674e-005,18.5414
-1.672e-005,18.8514
-1.67e-005,19.4095
-1.668e-005,18.2313
-1.666e-005,18.7274
