LECROYWS44MXs-B	57124	Waveform
Segments	1	SegmentSize	10001
Segment	TrigTime	TimeSinceSegment1
#1	25-Nov-2021 15:17:45	0                 
Time	Ampl
-5.96e-005	-0.00385001
-5.958e-005	-0.00620969
-5.956e-005	0.000496775
-5.954e-005	-0.00683066
-5.952e-005	0.00136613
-5.95e-005	-0.00633389
-5.948e-005	0.00484356
-5.946e-005	0.0040984
-5.944e-005	0.000248388
-5.942e-005	-0.000248388
-5.94e-005	0.000372581
-5.938e-005	-0.000993551
-5.936e-005	-0.0021113
-5.934e-005	-0.00745163
-5.932e-005	0.00136613
-5.93e-005	-0.00273226
-5.928e-005	-0.00645808
-5.926e-005	-0.00149033
-5.924e-005	-0.0039742
-5.922e-005	-0.00248388
-5.92e-005	-0.000745163
-5.918e-005	-0.000496775
-5.916e-005	-0.00583711
-5.914e-005	-0.00943873
-5.912e-005	-0.00285646
-5.91e-005	-0.00136613
-5.908e-005	0.00223549
-5.906e-005	-0.00459517
-5.904e-005	-0.00422259
-5.902e-005	-0.00707905
-5.9e-005	-0.00360162
-5.898e-005	-0.0100597
-5.896e-005	-0.0019871
-5.894e-005	-0.00521614
-5.892e-005	-0.000124194
-5.89e-005	-0.00459517
-5.888e-005	-0.00521614
-5.886e-005	-0.00223549
-5.884e-005	-0.00422259
-5.882e-005	-0.000496775
-5.88e-005	-0.00496775
-5.878e-005	-0.00347743
-5.876e-005	-0.000869357
-5.874e-005	0.00235968
-5.872e-005	0
-5.87e-005	0.000620969
-5.868e-005	0.00347743
-5.866e-005	-0.00707905
-5.864e-005	-0.00993551
-5.862e-005	-0.00521614
-5.86e-005	-0.00149033
-5.858e-005	-0.00360162
-5.856e-005	0.00273226
-5.854e-005	0.00335323
-5.852e-005	-0.00509195
-5.85e-005	-0.00856937
-5.848e-005	-0.00422259
-5.846e-005	-0.00347743
-5.844e-005	0.00186291
-5.842e-005	-0.00124194
-5.84e-005	-0.00496775
-5.838e-005	-0.00235968
-5.836e-005	-0.00658227
-5.834e-005	-0.00186291
-5.832e-005	0.00223549
-5.83e-005	-0.00583711
-5.828e-005	-0.00856937
-5.826e-005	-0.000372581
-5.824e-005	-0.00943873
-5.822e-005	-0.00434678
-5.82e-005	0.000248388
-5.818e-005	0.000993551
-5.816e-005	0.00496775
